Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
E.S. Denisenko,F,B,Raw,28.5,24-34,24-39,Open,67.3,,,,,,,-40,-45,-45,,,,,,,,,DQ,,,,,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
I.S. Lebetskaya,F,B,Raw,43.5,40-44,40-49,Open,73.2,,,,,,,80,85,90,,90,,,,,,90,1,88.80,86.89,76.50,70.06,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
K. Yakimovich,F,B,Raw,26.5,24-34,24-39,Open,60.6,,,,,,,40,42.5,45,,45,,,,,,45,2,49.57,49.79,43.98,38.42,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
A.G. Golneva,F,B,Raw,19.5,20-23,19-23,Juniors 17-21,50.3,,,,,,,32.5,35,-37.5,,35,,,,,,35,2,43.67,44.76,39.73,34.55,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
E.V. Marunevskaya,F,B,Raw,19.5,20-23,19-23,Juniors 17-21,63.7,,,,,,,40,42.5,-45,,42.5,,,,,,42.5,1,45.40,45.26,39.96,35.25,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
D. Gimbitskiy,M,B,Raw,30.5,24-34,24-39,Open,82,82.5,,,,,,127.5,132.5,,,132.5,,,,,,132.5,2,90.07,89.09,85.74,66.97,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
S. Kozlov,M,B,Raw,40.5,40-44,40-49,Open,79.3,82.5,,,,,,150,160,-167.5,,160,,,,,,160,1,110.90,109.84,105.88,82.28,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
V.O. Shevchenko,M,B,Raw,21.5,20-23,19-23,Open,80.1,82.5,,,,,,87.5,95,-97.5,,95,,,,,,95,3,65.46,64.81,62.44,48.60,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
M.S. Drozdov,M,B,Raw,23.5,24-34,24-39,Open,88,90,,,,,,165,172.5,177.5,,177.5,,,,,,177.5,1,116.10,114.65,109.99,86.55,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
Yu.G. Rimsha,M,B,Raw,35.5,35-39,24-39,Open,89.2,90,,,,,,160,162.5,165,,165,,,,,,165,3,107.17,105.82,101.46,79.91,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
